track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
tahoe,audiodub,0.811,0.47,9,-7.308,1,0.0452,0.0253,0.0,0.0821,0.493,85.061,not_hot,2mZ3lIYkJ5X3CpvG0jw8ma,spotify:track:2mZ3lIYkJ5X3CpvG0jw8ma,https://api.spotify.com/v1/tracks/2mZ3lIYkJ5X3CpvG0jw8ma,https://api.spotify.com/v1/audio-analysis/2mZ3lIYkJ5X3CpvG0jw8ma,187800,4
brand name,mac miller,0.385,0.71,9,-5.158,0,0.0805,0.0565,7.24e-06,0.0632,0.398,148.385,not_hot,6ulzLZnp6Y2TVLh1inckeJ,spotify:track:6ulzLZnp6Y2TVLh1inckeJ,https://api.spotify.com/v1/tracks/6ulzLZnp6Y2TVLh1inckeJ,https://api.spotify.com/v1/audio-analysis/6ulzLZnp6Y2TVLh1inckeJ,302133,4
till,shirley bassey,0.202,0.13,10,-14.187,1,0.0346,0.911,0.00114,0.11,0.0798,82.402,not_hot,7iW0MmzRAwPJU6doG5yxhc,spotify:track:7iW0MmzRAwPJU6doG5yxhc,https://api.spotify.com/v1/tracks/7iW0MmzRAwPJU6doG5yxhc,https://api.spotify.com/v1/audio-analysis/7iW0MmzRAwPJU6doG5yxhc,241773,5
'nuff respect,big daddy kane,0.806,0.61,11,-14.004,0,0.175,0.00478,6.99e-05,0.103,0.889,114.034,not_hot,5RQHGlYSMzd1qZajTDn4fo,spotify:track:5RQHGlYSMzd1qZajTDn4fo,https://api.spotify.com/v1/tracks/5RQHGlYSMzd1qZajTDn4fo,https://api.spotify.com/v1/audio-analysis/5RQHGlYSMzd1qZajTDn4fo,192707,4
the love gangster,stephen stills,0.582,0.675,9,-8.182,1,0.033,0.118,0.00164,0.107,0.608,106.75,not_hot,6c6HkEqekyzQ1nAL89AQl6,spotify:track:6c6HkEqekyzQ1nAL89AQl6,https://api.spotify.com/v1/tracks/6c6HkEqekyzQ1nAL89AQl6,https://api.spotify.com/v1/audio-analysis/6c6HkEqekyzQ1nAL89AQl6,171533,4
(this ain't) no thinkin' thing,trace adkins,0.644,0.748,9,-6.303,0,0.0253,0.122,0.000114,0.112,0.554,116.083,not_hot,44YTMbU3aqvE7q09rjyUb3,spotify:track:44YTMbU3aqvE7q09rjyUb3,https://api.spotify.com/v1/tracks/44YTMbU3aqvE7q09rjyUb3,https://api.spotify.com/v1/audio-analysis/44YTMbU3aqvE7q09rjyUb3,242267,4
yesterdays gone,chad & jeremy,0.775,0.341,2,-12.158,1,0.0411,0.939,0.0265,0.68,0.763,96.365,not_hot,45ZJ3D6n5xuwazHq3heljz,spotify:track:45ZJ3D6n5xuwazHq3heljz,https://api.spotify.com/v1/tracks/45ZJ3D6n5xuwazHq3heljz,https://api.spotify.com/v1/audio-analysis/45ZJ3D6n5xuwazHq3heljz,140187,4
unlearn,reks,0.402,0.737,6,-6.007,0,0.153,2.8e-05,1.34e-05,0.0974,0.0883,125.454,not_hot,6hNCTjKaQJxI6QFDk1fdXg,spotify:track:6hNCTjKaQJxI6QFDk1fdXg,https://api.spotify.com/v1/tracks/6hNCTjKaQJxI6QFDk1fdXg,https://api.spotify.com/v1/audio-analysis/6hNCTjKaQJxI6QFDk1fdXg,224758,5
compared to what,roberta flack,0.468,0.352,5,-13.645,0,0.0538,0.494,2.23e-05,0.113,0.435,108.532,not_hot,3ZTEMmFm3FzfEtjqJN32c1,spotify:track:3ZTEMmFm3FzfEtjqJN32c1,https://api.spotify.com/v1/tracks/3ZTEMmFm3FzfEtjqJN32c1,https://api.spotify.com/v1/audio-analysis/3ZTEMmFm3FzfEtjqJN32c1,316587,4
if you go away,scott walker,0.194,0.143,9,-19.088,0,0.0374,0.915,0.00139,0.104,0.129,80.719,not_hot,5dyO8mnNmFqxDjgl3QzbM8,spotify:track:5dyO8mnNmFqxDjgl3QzbM8,https://api.spotify.com/v1/tracks/5dyO8mnNmFqxDjgl3QzbM8,https://api.spotify.com/v1/audio-analysis/5dyO8mnNmFqxDjgl3QzbM8,300280,3
this is your life,switchfoot,0.592,0.754,9,-7.553,1,0.0299,0.0198,0.00673,0.118,0.639,130.006,not_hot,2stnUIKHtPrG5Hde3wqQc2,spotify:track:2stnUIKHtPrG5Hde3wqQc2,https://api.spotify.com/v1/tracks/2stnUIKHtPrG5Hde3wqQc2,https://api.spotify.com/v1/audio-analysis/2stnUIKHtPrG5Hde3wqQc2,259000,4
"music, maestro, please!",the flamingos,0.284,0.323,9,-12.102,0,0.0353,0.804,0.0,0.0938,0.301,188.778,not_hot,0zAq4JmAHtPIxDi4WwBwig,spotify:track:0zAq4JmAHtPIxDi4WwBwig,https://api.spotify.com/v1/tracks/0zAq4JmAHtPIxDi4WwBwig,https://api.spotify.com/v1/audio-analysis/0zAq4JmAHtPIxDi4WwBwig,147960,3
del,hieroglyphics,0.792,0.806,1,-6.853,0,0.301,0.0786,0.0,0.0895,0.884,89.052,not_hot,24rpBMW7G1dmu5F1Nn7nrk,spotify:track:24rpBMW7G1dmu5F1Nn7nrk,https://api.spotify.com/v1/tracks/24rpBMW7G1dmu5F1Nn7nrk,https://api.spotify.com/v1/audio-analysis/24rpBMW7G1dmu5F1Nn7nrk,74533,4
bully dread,toyan,0.751,0.739,9,-4.252,1,0.299,0.0552,0.0,0.309,0.653,72.347,not_hot,0XqsD2Cq1j2jmLuRh5Mk45,spotify:track:0XqsD2Cq1j2jmLuRh5Mk45,https://api.spotify.com/v1/tracks/0XqsD2Cq1j2jmLuRh5Mk45,https://api.spotify.com/v1/audio-analysis/0XqsD2Cq1j2jmLuRh5Mk45,206193,4
undertow,tool,0.36,0.797,2,-6.623,1,0.0538,8.13e-05,0.805,0.278,0.474,171.523,not_hot,4Wvnm0J3Zz9cmMdEMMghGA,spotify:track:4Wvnm0J3Zz9cmMdEMMghGA,https://api.spotify.com/v1/tracks/4Wvnm0J3Zz9cmMdEMMghGA,https://api.spotify.com/v1/audio-analysis/4Wvnm0J3Zz9cmMdEMMghGA,322017,3
i guess i've come to live here in your eyes,willie nelson,0.509,0.0788,0,-17.521,1,0.0395,0.946,0.00135,0.104,0.352,86.06,not_hot,6ynZJ9dR48FB4843nPpE1O,spotify:track:6ynZJ9dR48FB4843nPpE1O,https://api.spotify.com/v1/tracks/6ynZJ9dR48FB4843nPpE1O,https://api.spotify.com/v1/audio-analysis/6ynZJ9dR48FB4843nPpE1O,216267,4
tears in the rain,tim mcgraw,0.614,0.279,6,-15.901,1,0.0277,0.401,0.0,0.125,0.169,108.982,not_hot,5GC6XwuiVyFM3FG4d1XVjv,spotify:track:5GC6XwuiVyFM3FG4d1XVjv,https://api.spotify.com/v1/tracks/5GC6XwuiVyFM3FG4d1XVjv,https://api.spotify.com/v1/audio-analysis/5GC6XwuiVyFM3FG4d1XVjv,200627,4
no salt on her tail,the mamas & the papas,0.458,0.702,5,-7.585,1,0.026,0.0212,0.0238,0.113,0.885,99.334,not_hot,0jrfuyBnKk16JbIyhqmVxr,spotify:track:0jrfuyBnKk16JbIyhqmVxr,https://api.spotify.com/v1/tracks/0jrfuyBnKk16JbIyhqmVxr,https://api.spotify.com/v1/audio-analysis/0jrfuyBnKk16JbIyhqmVxr,163280,4
i can't remember,alice in chains,0.277,0.736,8,-8.851,1,0.0404,0.00146,2.43e-05,0.214,0.185,104.974,not_hot,4aSCbMw2Nw2eQkJ0okcp8q,spotify:track:4aSCbMw2Nw2eQkJ0okcp8q,https://api.spotify.com/v1/tracks/4aSCbMw2Nw2eQkJ0okcp8q,https://api.spotify.com/v1/audio-analysis/4aSCbMw2Nw2eQkJ0okcp8q,222427,4
#1 crush,garbage,0.643,0.63,5,-7.163,1,0.0236,0.000105,0.0179,0.331,0.488,94.199,not_hot,08L1WAtYQnsFBoZ3MEBkYV,spotify:track:08L1WAtYQnsFBoZ3MEBkYV,https://api.spotify.com/v1/tracks/08L1WAtYQnsFBoZ3MEBkYV,https://api.spotify.com/v1/audio-analysis/08L1WAtYQnsFBoZ3MEBkYV,290507,4
sealed with a kiss,brian hyland,0.449,0.362,5,-10.38,0,0.0279,0.743,0.0,0.132,0.6,90.822,not_hot,6oM4ryXpuZmbFfBv2sEe7v,spotify:track:6oM4ryXpuZmbFfBv2sEe7v,https://api.spotify.com/v1/tracks/6oM4ryXpuZmbFfBv2sEe7v,https://api.spotify.com/v1/audio-analysis/6oM4ryXpuZmbFfBv2sEe7v,162160,4
"swing, swing",the all-american rejects,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,not_hot,003FTlCpBTM4eSqYSWPv4H,spotify:track:003FTlCpBTM4eSqYSWPv4H,https://api.spotify.com/v1/tracks/003FTlCpBTM4eSqYSWPv4H,https://api.spotify.com/v1/audio-analysis/003FTlCpBTM4eSqYSWPv4H,233267,4
blame it on da bay,lil wyte,0.87,0.783,1,-6.525,1,0.158,0.105,6.95e-06,0.603,0.547,165.824,not_hot,7Cr8kfJqWkctO2NXOHMTZ9,spotify:track:7Cr8kfJqWkctO2NXOHMTZ9,https://api.spotify.com/v1/tracks/7Cr8kfJqWkctO2NXOHMTZ9,https://api.spotify.com/v1/audio-analysis/7Cr8kfJqWkctO2NXOHMTZ9,188333,4
a day in the life of a fool,harry belafonte,0.243,0.336,10,-12.086,0,0.0325,0.498,0.000659,0.103,0.237,170.035,not_hot,38u28PUFlHyWuxhlhlUbdv,spotify:track:38u28PUFlHyWuxhlhlUbdv,https://api.spotify.com/v1/tracks/38u28PUFlHyWuxhlhlUbdv,https://api.spotify.com/v1/audio-analysis/38u28PUFlHyWuxhlhlUbdv,136507,4
rhythm of the rain,the cascades,0.659,0.66,0,-8.337,1,0.0441,0.627,0.000217,0.136,0.672,116.634,not_hot,7GHf8dQ2wA71wYOuRsQCZP,spotify:track:7GHf8dQ2wA71wYOuRsQCZP,https://api.spotify.com/v1/tracks/7GHf8dQ2wA71wYOuRsQCZP,https://api.spotify.com/v1/audio-analysis/7GHf8dQ2wA71wYOuRsQCZP,146360,4
